Record_ID,Video_ID,Video_Title,Channel_ID,Country_ID,Category_ID,Trending_Date,Published_Date,Trending_Rank,Views,Likes,Comments,Duration_Days
TR000128,VID000128,Championship Final Highlights,CH003,GB,C04,2026-06-05,2026-05-04,8,469403,30118,4488,3
TR000129,VID000129,New Science Discovery Explained,CH002,TW,C01,2026-06-05,2026-03-19,9,559508,39791,4182,3
TR000130,VID000130,Behind the Scenes: Movie Production,CH004,JP,C03,2026-06-05,2026-05-28,10,2725110,287465,38747,10
TR000131,VID000131,Championship Final Highlights,CH003,GB,C04,2026-06-05,2026-05-02,11,308078,9672,3352,1
TR000132,VID000132,Championship Final Highlights,CH009,TW,C06,2026-06-05,2026-03-30,12,412672,16202,4226,6
TR000133,VID000133,Championship Final Highlights,CH009,TW,C06,2026-06-05,2026-02-24,13,729764,29197,1417,14
TR000134,VID000134,New Science Discovery Explained,CH008,CA,C05,2026-06-05,2026-02-18,14,154313,17912,2190,5
TR000135,VID000135,Breaking News: Global Update,CH007,AU,C09,2026-06-05,2026-05-29,15,1729171,179926,3942,4
TR000136,VID000136,K-Pop New Release Performance,CH012,TW,C01,2026-06-05,2026-06-03,16,955432,105685,9133,10
TR000137,VID000137,Breaking News: Global Update,CH002,JP,C01,2026-06-05,2026-03-10,17,1447299,76836,18793,4
TR000138,VID000138,Championship Final Highlights,CH010,US,C10,2026-06-05,2026-02-17,18,226377,6726,2963,11
TR000139,VID000139,K-Pop New Release Performance,CH007,US,C09,2026-06-05,2026-02-11,19,3818008,160654,9623,14
TR000140,VID000140,Amazing Street Food Tour,CH004,TW,C03,2026-06-05,2026-04-08,20,866534,94937,9118,11
TR000141,VID000141,New Science Discovery Explained,CH006,JP,C08,2026-06-05,2026-03-12,21,438784,9676,2797,10
TR000142,VID000142,Funny Moments You Can't Miss,CH012,AU,C01,2026-06-05,2026-02-08,22,1722276,27822,4279,6
TR000143,VID000143,Amazing Street Food Tour,CH011,JP,C02,2026-06-05,2026-05-24,23,400767,30136,5070,12
TR000144,VID000144,2026 Global Music Festival Highlights,CH010,US,C10,2026-06-05,2026-04-02,24,4403714,229682,63413,3
TR000145,VID000145,New Science Discovery Explained,CH005,JP,C02,2026-06-05,2026-05-10,25,1008944,91572,9434,2
TR000146,VID000146,2026 Global Music Festival Highlights,CH007,GB,C09,2026-06-05,2026-05-12,26,390579,44278,4344,10
TR000147,VID000147,K-Pop New Release Performance,CH004,US,C03,2026-06-05,2026-05-16,27,587456,61020,8430,2
TR000148,VID000148,2026 Global Music Festival Highlights,CH009,US,C06,2026-06-05,2026-03-31,28,334162,8752,531,1
TR000149,VID000149,AI Technology Explained,CH009,GB,C06,2026-06-05,2026-04-23,29,172010,3951,279,12
TR000150,VID000150,AI Technology Explained,CH003,GB,C04,2026-06-05,2026-02-23,30,4425579,340655,25376,11
TR000151,VID000151,Championship Final Highlights,CH011,KR,C02,2026-06-06,2026-04-06,1,859182,59916,1509,3
TR000152,VID000152,New Science Discovery Explained,CH008,US,C05,2026-06-06,2026-05-16,2,1214862,115045,13362,8
TR000153,VID000153,Behind the Scenes: Movie Production,CH009,US,C06,2026-06-06,2026-03-09,3,1714865,35013,17515,7
TR000154,VID000154,Amazing Street Food Tour,CH001,US,C07,2026-06-06,2026-05-11,4,1237548,92363,17046,7
TR000155,VID000155,Top 10 Gaming Moments,CH009,TW,C06,2026-06-06,2026-04-19,5,363668,35825,4110,7
TR000156,VID000156,Championship Final Highlights,CH003,GB,C04,2026-06-06,2026-04-08,6,168753,17218,174,3
TR000157,VID000157,Best Travel Destinations 2026,CH012,US,C01,2026-06-06,2026-02-28,7,479096,29372,3049,8
TR000158,VID000158,Behind the Scenes: Movie Production,CH001,TW,C07,2026-06-06,2026-03-12,8,1218725,59070,11669,12
TR000159,VID000159,Best Travel Destinations 2026,CH002,JP,C01,2026-06-06,2026-02-27,9,480356,54569,5803,14
TR000160,VID000160,AI Technology Explained,CH004,JP,C03,2026-06-06,2026-04-05,10,1283986,31197,1341,9
TR000161,VID000161,2026 Global Music Festival Highlights,CH008,CA,C05,2026-06-06,2026-02-15,11,197593,9942,1595,14
TR000162,VID000162,Top 10 Gaming Moments,CH001,US,C07,2026-06-06,2026-04-22,12,361930,18905,1688,2
TR000163,VID000163,Behind the Scenes: Movie Production,CH005,KR,C02,2026-06-06,2026-04-19,13,63979,5525,234,5
TR000164,VID000164,Championship Final Highlights,CH005,JP,C02,2026-06-06,2026-03-28,14,132270,15627,1761,11
TR000165,VID000165,Behind the Scenes: Movie Production,CH002,TW,C01,2026-06-06,2026-03-27,15,522537,41182,4145,11
TR000166,VID000166,Championship Final Highlights,CH002,TW,C01,2026-06-06,2026-03-08,16,723930,13651,10410,6
TR000167,VID000167,Championship Final Highlights,CH005,KR,C02,2026-06-06,2026-04-13,17,304553,28815,3225,3
TR000168,VID000168,Funny Moments You Can't Miss,CH003,GB,C04,2026-06-06,2026-05-24,18,136821,5267,1133,4
TR000169,VID000169,Funny Moments You Can't Miss,CH005,TW,C02,2026-06-06,2026-05-26,19,307879,8805,4121,2
TR000170,VID000170,K-Pop New Release Performance,CH012,TW,C01,2026-06-06,2026-05-28,20,793175,39302,11110,11
TR000171,VID000171,AI Technology Explained,CH002,JP,C01,2026-06-06,2026-04-29,21,1070997,71828,1794,13
TR000172,VID000172,Breaking News: Global Update,CH012,US,C01,2026-06-06,2026-03-21,22,170982,17846,1313,10
TR000173,VID000173,Championship Final Highlights,CH003,GB,C04,2026-06-06,2026-04-27,23,85871,9210,1035,12
TR000174,VID000174,Funny Moments You Can't Miss,CH001,US,C07,2026-06-06,2026-04-08,24,702603,22372,3754,5
TR000175,VID000175,Funny Moments You Can't Miss,CH010,US,C10,2026-06-06,2026-04-04,25,174858,18809,2524,3
TR000176,VID000176,Best Travel Destinations 2026,CH007,AU,C09,2026-06-06,2026-05-27,26,801603,81037,3058,2
TR000177,VID000177,K-Pop New Release Performance,CH004,TW,C03,2026-06-06,2026-03-20,27,196658,6937,338,1
TR000178,VID000178,Championship Final Highlights,CH009,GB,C06,2026-06-06,2026-02-22,28,1047862,44302,10157,13
TR000179,VID000179,AI Technology Explained,CH003,GB,C04,2026-06-06,2026-03-15,29,567720,65920,3098,14
TR000180,VID000180,The Ultimate Tech Review 2026,CH005,KR,C02,2026-06-06,2026-05-15,30,2142434,242971,22440,4
TR000181,VID000181,K-Pop New Release Performance,CH011,KR,C02,2026-06-07,2026-05-26,1,505331,25932,4802,2
TR000182,VID000182,K-Pop New Release Performance,CH002,KR,C01,2026-06-07,2026-04-04,2,219669,18888,1530,3
TR000183,VID000183,Behind the Scenes: Movie Production,CH004,JP,C03,2026-06-07,2026-03-23,3,388077,37213,4039,2
TR000184,VID000184,Best Travel Destinations 2026,CH002,TW,C01,2026-06-07,2026-06-03,4,57800,3453,407,7
TR000185,VID000185,AI Technology Explained,CH011,JP,C02,2026-06-07,2026-04-21,5,1358447,59353,19408,8
TR000186,VID000186,Top 10 Gaming Moments,CH012,US,C01,2026-06-07,2026-05-17,6,1640552,181281,21215,6
TR000187,VID000187,Breaking News: Global Update,CH003,US,C04,2026-06-07,2026-03-30,7,422698,46023,1620,1
TR000188,VID000188,AI Technology Explained,CH009,US,C06,2026-06-07,2026-05-23,8,564298,36403,4727,14
TR000189,VID000189,Breaking News: Global Update,CH009,GB,C06,2026-06-07,2026-03-06,9,897811,93105,10356,13
TR000190,VID000190,Funny Moments You Can't Miss,CH012,US,C01,2026-06-07,2026-05-14,10,911220,101773,8603,14
TR000191,VID000191,New Science Discovery Explained,CH007,US,C09,2026-06-07,2026-02-19,11,637625,24664,1805,6
TR000192,VID000192,2026 Global Music Festival Highlights,CH005,KR,C02,2026-06-07,2026-06-05,12,91151,9000,455,8
TR000193,VID000193,Funny Moments You Can't Miss,CH005,TW,C02,2026-06-07,2026-03-05,13,281445,21953,1330,1
TR000194,VID000194,Championship Final Highlights,CH012,TW,C01,2026-06-07,2026-04-27,14,39187,750,292,9
TR000195,VID000195,Behind the Scenes: Movie Production,CH001,TW,C07,2026-06-07,2026-04-22,15,440822,35224,4710,8
TR000196,VID000196,2026 Global Music Festival Highlights,CH002,TW,C01,2026-06-07,2026-06-05,16,138917,9876,1847,13
TR000197,VID000197,AI Technology Explained,CH004,TW,C03,2026-06-07,2026-05-16,17,832439,84285,913,1
TR000198,VID000198,New Science Discovery Explained,CH008,US,C05,2026-06-07,2026-04-07,18,166247,14825,159,9
TR000199,VID000199,Top 10 Gaming Moments,CH007,GB,C09,2026-06-07,2026-05-06,19,641753,73462,6139,14
TR000200,VID000200,New Science Discovery Explained,CH011,US,C02,2026-06-07,2026-05-31,20,372528,31436,3173,10
TR000201,VID000201,Funny Moments You Can't Miss,CH006,JP,C08,2026-06-07,2026-06-04,21,2387239,184519,23703,13
TR000202,VID000202,Championship Final Highlights,CH003,GB,C04,2026-06-07,2026-05-19,22,279205,32797,1503,13
TR000203,VID000203,Breaking News: Global Update,CH007,US,C09,2026-06-07,2026-04-13,23,733799,49013,1234,3
TR000204,VID000204,Amazing Street Food Tour,CH006,TW,C08,2026-06-07,2026-03-20,24,60029,2524,432,10
TR000205,VID000205,2026 Global Music Festival Highlights,CH008,CA,C05,2026-06-07,2026-05-01,25,129862,15415,140,3
TR000206,VID000206,The Ultimate Tech Review 2026,CH009,US,C06,2026-06-07,2026-02-10,26,102295,5782,950,4
TR000207,VID000207,2026 Global Music Festival Highlights,CH006,TW,C08,2026-06-07,2026-04-26,27,123349,7883,1556,3
TR000208,VID000208,AI Technology Explained,CH010,US,C10,2026-06-07,2026-02-27,28,94015,10383,291,14
TR000209,VID000209,Championship Final Highlights,CH002,JP,C01,2026-06-07,2026-05-01,29,431251,17663,5660,7
TR000210,VID000210,Funny Moments You Can't Miss,CH009,US,C06,2026-06-07,2026-02-24,30,1429348,45982,8820,12
TR000211,VID000211,Best Travel Destinations 2026,CH002,JP,C01,2026-06-08,2026-02-27,1,449946,35035,2812,11
TR000212,VID000212,Behind the Scenes: Movie Production,CH010,JP,C10,2026-06-08,2026-02-10,2,402815,13222,3237,12
TR000213,VID000213,Top 10 Gaming Moments,CH009,GB,C06,2026-06-08,2026-06-03,3,846549,75521,2473,12
TR000214,VID000214,2026 Global Music Festival Highlights,CH009,TW,C06,2026-06-08,2026-05-02,4,109974,5768,905,1
TR000215,VID000215,The Ultimate Tech Review 2026,CH008,CA,C05,2026-06-08,2026-04-13,5,1239580,45385,2631,14
TR000216,VID000216,Best Travel Destinations 2026,CH002,TW,C01,2026-06-08,2026-05-02,6,561737,63669,601,3
TR000217,VID000217,K-Pop New Release Performance,CH006,TW,C08,2026-06-08,2026-02-11,7,2460206,139554,18349,11
TR000218,VID000218,Championship Final Highlights,CH002,TW,C01,2026-06-08,2026-04-19,8,957309,112172,8531,11
TR000219,VID000219,The Ultimate Tech Review 2026,CH002,JP,C01,2026-06-08,2026-04-25,9,152426,4410,393,10
TR000220,VID000220,Championship Final Highlights,CH012,AU,C01,2026-06-08,2026-05-31,10,484952,56662,902,13
TR000221,VID000221,Behind the Scenes: Movie Production,CH006,TW,C08,2026-06-08,2026-02-17,11,764682,78763,10856,14
TR000222,VID000222,2026 Global Music Festival Highlights,CH002,KR,C01,2026-06-08,2026-05-22,12,176811,18077,2305,12
TR000223,VID000223,Amazing Street Food Tour,CH011,KR,C02,2026-06-08,2026-04-23,13,530006,60310,6619,9
TR000224,VID000224,Funny Moments You Can't Miss,CH010,US,C10,2026-06-08,2026-03-08,14,938220,29765,8699,1
TR000225,VID000225,The Ultimate Tech Review 2026,CH009,GB,C06,2026-06-08,2026-04-21,15,316631,14347,659,13
TR000226,VID000226,The Ultimate Tech Review 2026,CH006,JP,C08,2026-06-08,2026-06-04,16,543720,46269,6640,13
TR000227,VID000227,Amazing Street Food Tour,CH009,TW,C06,2026-06-08,2026-03-17,17,321400,14839,3185,1
TR000228,VID000228,Funny Moments You Can't Miss,CH012,TW,C01,2026-06-08,2026-03-29,18,1141868,84682,6869,1
TR000229,VID000229,Breaking News: Global Update,CH001,TW,C07,2026-06-08,2026-05-04,19,2285316,182931,16501,5
TR000230,VID000230,Behind the Scenes: Movie Production,CH010,US,C10,2026-06-08,2026-04-21,20,1214468,126247,16706,9
TR000231,VID000231,Best Travel Destinations 2026,CH012,US,C01,2026-06-08,2026-03-02,21,86623,5635,538,6
TR000232,VID000232,Best Travel Destinations 2026,CH002,JP,C01,2026-06-08,2026-04-26,22,524904,8878,1752,5
TR000233,VID000233,Breaking News: Global Update,CH012,AU,C01,2026-06-08,2026-05-14,23,135036,4820,1005,2
